Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,15,1,0.95,MultinomialNB(),-1.619,-1.384,-0.2689999999999999,3.847,0.21499999999999986,23.174,2.6149999999999984,1269,0.823,0:00:00.080028,0:01:04.476169
25,15,1,0.95,LinearSVC(max_iter=10000),0.808,0.318,0.010000000000000009,1.984,-0.028999999999999915,6.631,-0.09199999999999964,1269,0.823,0:15:56.179986,0:01:04.476169
25,15,1,0.95,LogisticRegression(max_iter=10000),0.836,0.417,-0.013000000000000012,1.859,0.016000000000000014,5.664,0.12199999999999989,1269,0.823,0:04:22.345142,0:01:04.476169
25,15,1,0.925,MultinomialNB(),-1.815,-1.518,-0.403,3.938,0.30600000000000005,24.474,3.914999999999999,1191,0.773,0:00:00.097528,0:00:59.250073
25,15,1,0.925,LinearSVC(max_iter=10000),0.791,0.244,-0.064,2.104,0.09100000000000019,7.349,0.6260000000000003,1191,0.773,0:15:21.741365,0:00:59.250073
25,15,1,0.925,LogisticRegression(max_iter=10000),0.813,0.372,-0.057999999999999996,1.931,0.08800000000000008,6.101,0.5590000000000002,1191,0.773,0:04:05.377366,0:00:59.250073
25,15,1,0.9,MultinomialNB(),-2.01,-1.629,-0.514,4.018,0.3859999999999997,25.552,4.9929999999999986,1119,0.726,0:00:00.070614,0:00:50.171451
25,15,1,0.9,LinearSVC(max_iter=10000),0.77,0.248,-0.06,2.118,0.10499999999999998,7.309,0.5860000000000003,1119,0.726,0:14:53.026341,0:00:50.171451
25,15,1,0.9,LogisticRegression(max_iter=10000),0.804,0.372,-0.057999999999999996,1.93,0.08699999999999997,6.109,0.5670000000000002,1119,0.726,0:03:36.132873,0:00:50.171451
25,15,1,0.85,MultinomialNB(),-2.336,-1.841,-0.726,4.179,0.5470000000000002,27.616,7.056999999999999,990,0.642,0:00:00.064448,0:00:40.049198
25,15,1,0.85,LinearSVC(max_iter=10000),0.748,0.258,-0.04999999999999999,2.094,0.08099999999999996,7.212,0.4889999999999999,990,0.642,0:13:53.330439,0:00:40.049198
25,15,1,0.85,LogisticRegression(max_iter=10000),0.773,0.355,-0.07500000000000001,1.964,0.121,6.269,0.7270000000000003,990,0.642,0:02:48.026105,0:00:40.049198
25,15,1,0.8,MultinomialNB(),-2.715,-2.058,-0.9429999999999998,4.306,0.6739999999999999,29.727,9.168,842,0.546,0:00:00.060143,0:00:28.802959
25,15,1,0.8,LinearSVC(max_iter=10000),0.707,0.228,-0.07999999999999999,2.165,0.15200000000000014,7.5,0.7770000000000001,842,0.546,0:12:52.779311,0:00:28.802959
25,15,1,0.8,LogisticRegression(max_iter=10000),0.745,0.331,-0.09899999999999998,2.015,0.17200000000000015,6.505,0.9630000000000001,842,0.546,0:02:21.399954,0:00:28.802959
25,15,1,0.7,MultinomialNB(),-2.765,-2.003,-0.8880000000000001,4.224,0.5920000000000001,29.19,8.631,572,0.371,0:00:00.039163,0:00:14.188932
25,15,1,0.7,LinearSVC(max_iter=10000),0.601,0.196,-0.11199999999999999,2.201,0.18800000000000017,7.811,1.088,572,0.371,0:10:35.861243,0:00:14.188932
25,15,1,0.7,LogisticRegression(max_iter=10000),0.651,0.305,-0.125,2.048,0.20500000000000007,6.76,1.218,572,0.371,0:01:18.300626,0:00:14.188932
25,15,1,0.6,MultinomialNB(),-2.123,-1.612,-0.4970000000000001,4.045,0.4129999999999998,25.39,4.8309999999999995,279,0.181,0:00:00.020824,0:00:04.247525
25,15,1,0.6,LinearSVC(max_iter=10000),0.499,0.035,-0.273,2.437,0.42399999999999993,9.378,2.6550000000000002,279,0.181,0:06:19.812967,0:00:04.247525
25,15,1,0.6,LogisticRegression(max_iter=10000),0.526,0.176,-0.254,2.247,0.4039999999999999,8.01,2.468,279,0.181,0:00:31.122080,0:00:04.247525
25,15,2,1,MultinomialNB(),-0.715,-0.664,0.0,3.227,0.0,16.178,0.0,1014,1,0:00:00.066076,0:00:40.415773
25,15,2,1,LinearSVC(max_iter=10000),0.837,0.328,0.0,1.993,0.0,6.532,0.0,1014,1,0:11:21.522512,0:00:40.415773
25,15,2,1,LogisticRegression(max_iter=10000),0.855,0.438,0.0,1.819,0.0,5.463,0.0,1014,1,0:03:26.124064,0:00:40.415773
25,15,2,0.975,MultinomialNB(),-0.861,-0.76,-0.09599999999999997,3.305,0.07800000000000029,17.109,0.9310000000000009,905,0.893,0:00:00.060129,0:00:31.814618
25,15,2,0.975,LinearSVC(max_iter=10000),0.803,0.342,0.014000000000000012,1.971,-0.02200000000000002,6.395,-0.13700000000000045,905,0.893,0:10:52.761629,0:00:31.814618
25,15,2,0.975,LogisticRegression(max_iter=10000),0.844,0.416,-0.02200000000000002,1.858,0.039000000000000146,5.68,0.21699999999999964,905,0.893,0:02:38.914626,0:00:31.814618
25,15,2,0.95,MultinomialNB(),-1.063,-0.881,-0.21699999999999997,3.393,0.16599999999999993,18.283,2.1050000000000004,842,0.83,0:00:00.052050,0:00:27.848122
25,15,2,0.95,LinearSVC(max_iter=10000),0.787,0.335,0.007000000000000006,1.959,-0.03400000000000003,6.466,-0.06599999999999984,842,0.83,0:09:50.124161,0:00:27.848122
25,15,2,0.95,LogisticRegression(max_iter=10000),0.823,0.431,-0.007000000000000006,1.838,0.019000000000000128,5.528,0.0649999999999995,842,0.83,0:02:18.386972,0:00:27.848122
25,15,2,0.925,MultinomialNB(),-1.284,-1.074,-0.41000000000000003,3.555,0.3280000000000003,20.161,3.9830000000000005,785,0.774,0:00:00.049253,0:00:22.881597
