Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train Accuracy, Test Accuracy, Test Accuracy (gain), F1_macro, F1_macro (gain), F1_micro, ROC_AUC, ROC_AUC (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,2,0.85,MultinomialNB(),0.901,0.901,-0.02400000000000002,0.86,-0.029000000000000026,0.901,0.885,-0.014000000000000012,394,0.71,0:00:00.655909,0:04:41.603534
25,10,2,0.85,LinearSVC(max_iter=10000),0.956,0.955,-0.016000000000000014,0.934,-0.02199999999999991,0.955,0.949,-0.017000000000000015,394,0.71,0:13:05.182898,0:04:41.603534
25,10,2,0.85,LogisticRegression(max_iter=10000),0.958,0.957,-0.014000000000000012,0.936,-0.020999999999999908,0.957,0.947,-0.017000000000000015,394,0.71,0:02:17.531490,0:04:41.603534
25,10,2,0.8,MultinomialNB(),0.883,0.883,-0.04200000000000004,0.841,-0.04800000000000004,0.883,0.883,-0.016000000000000014,340,0.613,0:00:00.572999,0:03:46.292274
25,10,2,0.8,LinearSVC(max_iter=10000),0.956,0.956,-0.015000000000000013,0.935,-0.020999999999999908,0.956,0.95,-0.016000000000000014,340,0.613,0:14:17.814882,0:03:46.292274
25,10,2,0.8,LogisticRegression(max_iter=10000),0.957,0.956,-0.015000000000000013,0.935,-0.02199999999999991,0.956,0.948,-0.016000000000000014,340,0.613,0:01:25.884311,0:03:46.292274
25,10,2,0.7,MultinomialNB(),0.82,0.82,-0.1050000000000001,0.778,-0.11099999999999999,0.82,0.86,-0.039000000000000035,225,0.405,0:00:00.388186,0:02:20.957874
25,10,2,0.7,LinearSVC(max_iter=10000),0.912,0.911,-0.05999999999999994,0.869,-0.08699999999999997,0.911,0.884,-0.08199999999999996,225,0.405,0:07:57.993578,0:02:20.957874
25,10,2,0.7,LogisticRegression(max_iter=10000),0.912,0.91,-0.06099999999999994,0.868,-0.08899999999999997,0.91,0.878,-0.08599999999999997,225,0.405,0:00:58.365140,0:02:20.957874
25,10,2,0.6,MultinomialNB(),0.9,0.9,-0.025000000000000022,0.852,-0.03700000000000003,0.9,0.861,-0.038000000000000034,92,0.166,0:00:00.206663,0:01:24.084367
25,10,2,0.6,LinearSVC(max_iter=10000),0.903,0.902,-0.06899999999999995,0.856,-0.09999999999999998,0.902,0.868,-0.09799999999999998,92,0.166,0:02:10.284580,0:01:24.084367
25,10,2,0.6,LogisticRegression(max_iter=10000),0.898,0.898,-0.07299999999999995,0.847,-0.10999999999999999,0.898,0.853,-0.11099999999999999,92,0.166,0:00:30.718613,0:01:24.084367
25,15,1,1,MultinomialNB(),0.927,0.928,0.0,0.893,0.0,0.928,0.903,0.0,597,1,0:00:00.929291,0:09:06.752582
25,15,1,1,LinearSVC(max_iter=10000),0.972,0.971,0.0,0.957,0.0,0.971,0.967,0.0,597,1,0:19:08.502348,0:09:06.752582
25,15,1,1,LogisticRegression(max_iter=10000),0.973,0.971,0.0,0.957,0.0,0.971,0.964,0.0,597,1,0:03:36.440171,0:09:06.752582
25,15,1,0.975,MultinomialNB(),0.915,0.915,-0.013000000000000012,0.877,-0.016000000000000014,0.915,0.895,-0.008000000000000007,566,0.948,0:00:00.893843,0:08:19.588103
25,15,1,0.975,LinearSVC(max_iter=10000),0.971,0.971,0.0,0.957,0.0,0.971,0.966,-0.0010000000000000009,566,0.948,0:18:44.000844,0:08:19.588103
25,15,1,0.975,LogisticRegression(max_iter=10000),0.973,0.972,0.0010000000000000009,0.958,0.0010000000000000009,0.972,0.965,0.0010000000000000009,566,0.948,0:03:26.755101,0:08:19.588103
25,15,1,0.95,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.871,-0.02200000000000002,0.911,0.892,-0.01100000000000001,517,0.866,0:00:00.841184,0:07:11.220924
25,15,1,0.95,LinearSVC(max_iter=10000),0.967,0.966,-0.0050000000000000044,0.949,-0.008000000000000007,0.966,0.955,-0.01200000000000001,517,0.866,0:18:10.718374,0:07:11.220924
25,15,1,0.95,LogisticRegression(max_iter=10000),0.969,0.968,-0.0030000000000000027,0.951,-0.006000000000000005,0.968,0.955,-0.009000000000000008,517,0.866,0:02:51.861121,0:07:11.220924
25,15,1,0.925,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.871,-0.02200000000000002,0.911,0.892,-0.01100000000000001,498,0.834,0:00:00.798682,0:06:48.632020
25,15,1,0.925,LinearSVC(max_iter=10000),0.967,0.966,-0.0050000000000000044,0.949,-0.008000000000000007,0.966,0.955,-0.01200000000000001,498,0.834,0:17:13.348928,0:06:48.632020
25,15,1,0.925,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.953,-0.01100000000000001,498,0.834,0:02:38.603481,0:06:48.632020
25,15,1,0.9,MultinomialNB(),0.91,0.911,-0.017000000000000015,0.872,-0.02100000000000002,0.911,0.893,-0.010000000000000009,474,0.794,0:00:00.775513,0:06:18.616742
25,15,1,0.9,LinearSVC(max_iter=10000),0.965,0.965,-0.006000000000000005,0.948,-0.009000000000000008,0.965,0.954,-0.013000000000000012,474,0.794,0:16:18.830969,0:06:18.616742
25,15,1,0.9,LogisticRegression(max_iter=10000),0.968,0.967,-0.0040000000000000036,0.95,-0.007000000000000006,0.967,0.954,-0.010000000000000009,474,0.794,0:02:17.408248,0:06:18.616742
25,15,1,0.85,MultinomialNB(),0.901,0.902,-0.026000000000000023,0.86,-0.03300000000000003,0.902,0.887,-0.016000000000000014,409,0.685,0:00:00.728193,0:05:03.542427
25,15,1,0.85,LinearSVC(max_iter=10000),0.956,0.955,-0.016000000000000014,0.934,-0.02299999999999991,0.955,0.949,-0.018000000000000016,409,0.685,0:15:09.380591,0:05:03.542427
25,15,1,0.85,LogisticRegression(max_iter=10000),0.958,0.957,-0.014000000000000012,0.936,-0.020999999999999908,0.957,0.947,-0.017000000000000015,409,0.685,0:02:06.299231,0:05:03.542427
25,15,1,0.8,MultinomialNB(),0.872,0.872,-0.05600000000000005,0.828,-0.06500000000000006,0.872,0.877,-0.026000000000000023,353,0.591,0:00:00.609364,0:04:04.495760
25,15,1,0.8,LinearSVC(max_iter=10000),0.956,0.956,-0.015000000000000013,0.935,-0.02199999999999991,0.956,0.95,-0.017000000000000015,353,0.591,0:14:17.306739,0:04:04.495760
25,15,1,0.8,LogisticRegression(max_iter=10000),0.957,0.956,-0.015000000000000013,0.935,-0.02199999999999991,0.956,0.948,-0.016000000000000014,353,0.591,0:01:26.463066,0:04:04.495760
25,15,1,0.7,MultinomialNB(),0.82,0.82,-0.1080000000000001,0.778,-0.11499999999999999,0.82,0.86,-0.04300000000000004,225,0.377,0:00:00.413948,0:02:26.296250
25,15,1,0.7,LinearSVC(max_iter=10000),0.912,0.911,-0.05999999999999994,0.869,-0.08799999999999997,0.911,0.884,-0.08299999999999996,225,0.377,0:08:05.086872,0:02:26.296250
25,15,1,0.7,LogisticRegression(max_iter=10000),0.912,0.91,-0.06099999999999994,0.868,-0.08899999999999997,0.91,0.878,-0.08599999999999997,225,0.377,0:00:57.565932,0:02:26.296250
25,15,1,0.6,MultinomialNB(),0.9,0.9,-0.028000000000000025,0.852,-0.041000000000000036,0.9,0.861,-0.04200000000000004,92,0.154,0:00:00.223035,0:01:29.048084
25,15,1,0.6,LinearSVC(max_iter=10000),0.903,0.902,-0.06899999999999995,0.856,-0.10099999999999998,0.902,0.868,-0.09899999999999998,92,0.154,0:02:11.762511,0:01:29.048084
25,15,1,0.6,LogisticRegression(max_iter=10000),0.898,0.898,-0.07299999999999995,0.847,-0.10999999999999999,0.898,0.853,-0.11099999999999999,92,0.154,0:00:31.382709,0:01:29.048084
25,15,2,1,MultinomialNB(),0.927,0.927,0.0,0.892,0.0,0.927,0.901,0.0,575,1,0:00:00.950062,0:08:30.845917
25,15,2,1,LinearSVC(max_iter=10000),0.972,0.971,0.0,0.957,0.0,0.971,0.967,0.0,575,1,0:18:30.809231,0:08:30.845917
25,15,2,1,LogisticRegression(max_iter=10000),0.973,0.971,0.0,0.957,0.0,0.971,0.964,0.0,575,1,0:03:14.557918,0:08:30.845917
25,15,2,0.975,MultinomialNB(),0.914,0.915,-0.01200000000000001,0.876,-0.016000000000000014,0.915,0.893,-0.008000000000000007,550,0.957,0:00:00.831832,0:07:57.678269
25,15,2,0.975,LinearSVC(max_iter=10000),0.971,0.971,0.0,0.957,0.0,0.971,0.966,-0.0010000000000000009,550,0.957,0:17:56.359289,0:07:57.678269
25,15,2,0.975,LogisticRegression(max_iter=10000),0.973,0.972,0.0010000000000000009,0.958,0.0010000000000000009,0.972,0.965,0.0010000000000000009,550,0.957,0:03:13.374563,0:07:57.678269
