Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,10,2,0.9,MultinomialNB(),-1.169,-1.026,0.02499999999999991,0.963,-0.01100000000000001,1.606,-0.019999999999999796,161,0.647,0:00:00.008682,0:00:00.680553
25,10,2,0.9,LinearSVC(max_iter=10000),0.117,0.019,-0.016999999999999998,0.588,-0.007000000000000006,0.778,0.014000000000000012,161,0.647,0:00:28.558695,0:00:00.680553
25,10,2,0.9,LogisticRegression(max_iter=10000),0.137,0.049,-0.020000000000000004,0.583,0.0020000000000000018,0.754,0.016000000000000014,161,0.647,0:00:06.635609,0:00:00.680553
25,10,2,0.85,MultinomialNB(),-1.198,-1.083,-0.03200000000000003,0.978,0.0040000000000000036,1.651,0.025000000000000133,135,0.542,0:00:00.007049,0:00:00.524799
25,10,2,0.85,LinearSVC(max_iter=10000),0.071,-0.029,-0.065,0.609,0.014000000000000012,0.815,0.050999999999999934,135,0.542,0:00:25.598127,0:00:00.524799
25,10,2,0.85,LogisticRegression(max_iter=10000),0.104,-0.009,-0.078,0.6,0.019000000000000017,0.8,0.062000000000000055,135,0.542,0:00:05.583253,0:00:00.524799
25,10,2,0.8,MultinomialNB(),-1.194,-1.106,-0.05500000000000016,0.984,0.010000000000000009,1.669,0.04300000000000015,113,0.454,0:00:00.006798,0:00:00.423169
25,10,2,0.8,LinearSVC(max_iter=10000),0.054,-0.04,-0.076,0.61,0.015000000000000013,0.824,0.05999999999999994,113,0.454,0:00:17.315145,0:00:00.423169
25,10,2,0.8,LogisticRegression(max_iter=10000),0.075,-0.014,-0.083,0.6,0.019000000000000017,0.804,0.06600000000000006,113,0.454,0:00:04.408962,0:00:00.423169
25,10,2,0.7,MultinomialNB(),-1.301,-1.208,-0.15700000000000003,1.009,0.03499999999999992,1.75,0.12400000000000011,74,0.297,0:00:00.005014,0:00:00.286436
25,10,2,0.7,LinearSVC(max_iter=10000),0.055,-0.016,-0.052,0.603,0.008000000000000007,0.805,0.041000000000000036,74,0.297,0:00:09.567225,0:00:00.286436
25,10,2,0.7,LogisticRegression(max_iter=10000),0.08,-0.003,-0.07200000000000001,0.603,0.02200000000000002,0.795,0.05700000000000005,74,0.297,0:00:02.581146,0:00:00.286436
25,10,2,0.6,MultinomialNB(),-1.385,-1.482,-0.43100000000000005,1.073,0.09899999999999998,1.967,0.3410000000000002,36,0.145,0:00:00.003528,0:00:00.260574
25,10,2,0.6,LinearSVC(max_iter=10000),0.013,-0.063,-0.099,0.61,0.015000000000000013,0.843,0.07899999999999996,36,0.145,0:00:02.903424,0:00:00.260574
25,10,2,0.6,LogisticRegression(max_iter=10000),0.018,-0.013,-0.082,0.587,0.006000000000000005,0.803,0.06500000000000006,36,0.145,0:00:01.146721,0:00:00.260574
25,15,1,1,MultinomialNB(),-1.202,-1.097,0.0,0.974,0.0,1.662,0.0,347,1,0:00:00.013715,0:00:02.553966
25,15,1,1,LinearSVC(max_iter=10000),0.236,0.083,0.0,0.576,0.0,0.727,0.0,347,1,0:01:39.246354,0:00:02.553966
25,15,1,1,LogisticRegression(max_iter=10000),0.245,0.092,0.0,0.572,0.0,0.719,0.0,347,1,0:00:09.093231,0:00:02.553966
25,15,1,0.975,MultinomialNB(),-1.439,-1.247,-0.15000000000000013,1.026,0.052000000000000046,1.781,0.119,245,0.706,0:00:00.011781,0:00:01.298593
25,15,1,0.975,LinearSVC(max_iter=10000),0.18,0.046,-0.037000000000000005,0.585,0.009000000000000008,0.756,0.029000000000000026,245,0.706,0:01:05.911968,0:00:01.298593
25,15,1,0.975,LogisticRegression(max_iter=10000),0.196,0.072,-0.020000000000000004,0.579,0.007000000000000006,0.736,0.017000000000000015,245,0.706,0:00:05.980787,0:00:01.298593
25,15,1,0.95,MultinomialNB(),-1.578,-1.386,-0.2889999999999999,1.054,0.08000000000000007,1.891,0.2290000000000001,210,0.605,0:00:00.009961,0:00:01.020296
25,15,1,0.95,LinearSVC(max_iter=10000),0.172,0.063,-0.020000000000000004,0.576,0.0,0.743,0.016000000000000014,210,0.605,0:00:47.132578,0:00:01.020296
25,15,1,0.95,LogisticRegression(max_iter=10000),0.173,0.078,-0.013999999999999999,0.576,0.0040000000000000036,0.731,0.01200000000000001,210,0.605,0:00:05.016778,0:00:01.020296
25,15,1,0.925,MultinomialNB(),-1.689,-1.516,-0.41900000000000004,1.08,0.1060000000000001,1.994,0.3320000000000001,189,0.545,0:00:00.008570,0:00:00.918136
25,15,1,0.925,LinearSVC(max_iter=10000),0.146,0.014,-0.069,0.586,0.010000000000000009,0.782,0.05500000000000005,189,0.545,0:00:28.550030,0:00:00.918136
25,15,1,0.925,LogisticRegression(max_iter=10000),0.149,0.047,-0.045,0.588,0.016000000000000014,0.755,0.03600000000000003,189,0.545,0:00:04.025913,0:00:00.918136
25,15,1,0.9,MultinomialNB(),-1.235,-1.074,0.02299999999999991,0.977,0.0030000000000000027,1.644,-0.018000000000000016,168,0.484,0:00:00.008893,0:00:00.779710
25,15,1,0.9,LinearSVC(max_iter=10000),0.11,0.019,-0.064,0.586,0.010000000000000009,0.778,0.051000000000000045,168,0.484,0:00:33.217442,0:00:00.779710
25,15,1,0.9,LogisticRegression(max_iter=10000),0.132,0.049,-0.043,0.581,0.009000000000000008,0.754,0.03500000000000003,168,0.484,0:00:07.091863,0:00:00.779710
25,15,1,0.85,MultinomialNB(),-1.195,-1.055,0.04200000000000004,0.973,-0.0010000000000000009,1.629,-0.03299999999999992,138,0.398,0:00:00.006793,0:00:00.609944
25,15,1,0.85,LinearSVC(max_iter=10000),0.074,-0.026,-0.109,0.609,0.03300000000000003,0.813,0.08599999999999997,138,0.398,0:00:19.800512,0:00:00.609944
25,15,1,0.85,LogisticRegression(max_iter=10000),0.095,-0.018,-0.11,0.601,0.029000000000000026,0.807,0.08800000000000008,138,0.398,0:00:05.511345,0:00:00.609944
25,15,1,0.8,MultinomialNB(),-1.181,-1.09,0.006999999999999895,0.979,0.0050000000000000044,1.656,-0.006000000000000005,115,0.331,0:00:00.006936,0:00:00.527418
